日付,ユーザー,ギフト名,合計コイン数
2025-10-16,takeshi,Heart Me,1
2025-10-16,甲斐ミレナ🌸🫧@10/26に2Dお披露目,Finger Heart,10
2025-10-16,takeshi,Suprised Fish,15
2025-10-16,takeshi,BFF Necklace,50
2025-10-16,甲斐ミレナ🌸🫧@10/26に2Dお披露目,Interstellar,10000
2025-10-16,takeshi,Strawberry Moon,20
2025-10-16,takeshi,Mooncake,6
2025-10-16,takeshi,Time Turner,10
2025-10-16,takeshi,Demon hunter,10
2025-10-16,甲斐ミレナ🌸🫧@10/26に2Dお披露目,Leon the Kitten,4888
2025-10-16,甲斐ミレナ🌸🫧@10/26に2Dお披露目,Level-up Sparks,99
2025-10-16,甲斐ミレナ🌸🫧@10/26に2Dお披露目,Level-up Sparks,99
2025-10-16,しろかい。,Heart Me,1
2025-10-16,さっさん,Heart Me,1
2025-10-16,さっさん,Crystal Rose,1
2025-10-16,てと,Heart Me,1
2025-10-16,さっさん,Crystal Rose,1
2025-10-16,甲斐ミレナ🌸🫧@10/26に2Dお披露目,Rose,1
2025-10-16,takeshi,Strawberry Moon,10
2025-10-16,てと,Mooncake,1
2025-10-16,さっさん,Crystal Rose,1
2025-10-16,甲斐ミレナ🌸🫧@10/26に2Dお披露目,Falcon,10999
2025-10-16,てと,Mooncake,1
2025-10-16,『sʜɪɴ'ɪᴄʜɪツ』😎😎😎,Heart Me,1
2025-10-16,甲斐ミレナ🌸🫧@10/26に2Dお披露目,Galaxy,1000
2025-10-16,てと,You're awesome,1
2025-10-16,甲斐ミレナ🌸🫧@10/26に2Dお披露目,Rose,1
2025-10-16,ゆーえむえー🪽💙,Heart Me,1
2025-10-16,あいてゃ,Heart Me,1
2025-10-16,あいてゃ,Popular Vote,1
2025-10-16,takeshi,Suprised Fish,1
2025-10-16,ゆーえむえー🪽💙,Crystal Rose,1
2025-10-16,甲斐ミレナ🌸🫧@10/26に2Dお披露目,Rose,1
2025-10-16,あいてゃ,Time Turner,10
2025-10-19,もる,Heart Me,1
2025-10-19,もる,Popular Vote,1
2025-10-19,さっさん,Heart Me,1
2025-10-19,さっさん,Rose,1
2025-10-19,甲斐ミレナ🌸🫧@10/26に2Dお披露目,Rose,1
2025-10-19,もる,Popular Vote,1
2025-10-19,甲斐ミレナ🌸🫧@10/26に2Dお披露目,Finger Heart,5
2025-10-19,あさみん(◍•ᴗ•◍)🍑,Rose,1
2025-10-19,あさみん(◍•ᴗ•◍)🍑,Heart Me,1
2025-10-19,あさみん(◍•ᴗ•◍)🍑,Popular Vote,1
