日付,ユーザー,ギフト名,合計コイン数
2025-11-02,ﾐｷﾞｶﾀﾆｺｶﾞﾈﾑｼ,Heart Me,1
2025-11-02,森虹まくら︎︎☁🌂,Heart Me,1
2025-11-02,森虹まくら︎︎☁🌂,Popular Vote,1
2025-11-02,もる,Heart Me,1
2025-11-02,もる,Popular Vote,1
2025-11-02,るちる,Heart Me,1
2025-11-02,晴海 凌@海自系VLiver,Heart Me,1
2025-11-02,晴海 凌@海自系VLiver,Rose,1
2025-11-02,shota,TikTok,10
2025-11-02,shota,BFF Necklace,20
2025-11-02,紫音,Heart Me,1
2025-11-02,紫音,Popular Vote,1
2025-11-02,shota,Hearts,199
2025-11-02,shota,Hearts,199
2025-11-02,shota,Hearts,199
2025-11-02,shota,Hearts,199
2025-11-02,shota,Hearts,199
2025-11-02,shota,Hand Heart,100
2025-11-02,shota,Hand Heart,100
2025-11-02,shota,Hand Heart,100
2025-11-02,shota,Hand Heart,100
2025-11-02,shota,Hand Heart,100
2025-11-02,shota,Hand Heart,100
2025-11-02,あさみん(◍•ᴗ•◍)🍑,Heart Me,1
2025-11-02,あさみん(◍•ᴗ•◍)🍑,Popular Vote,1
2025-11-02,マリモ,Cat Paws,1
2025-11-02,shota,LOSE,99
2025-11-02,きよ,Heart Me,1
2025-11-02,きよ,Popular Vote,1
2025-11-02,あさみん(◍•ᴗ•◍)🍑,Perfume,20
2025-11-03,あさみん(◍•ᴗ•◍)🍑,Heart Me,1
2025-11-03,あさみん(◍•ᴗ•◍)🍑,Popular Vote,1
2025-11-03,毒毒 /どくどく,Heart Me,1
2025-11-03,ばーう,Heart Me,1
2025-11-03,あさみん(◍•ᴗ•◍)🍑,Doughnut,30
2025-11-03,ばーう,Rose,10
2025-11-03,ちぇちぇ._.gllit0825,Heart Me,1
2025-11-03,ちぇちぇ._.gllit0825,Cat Paws,1
2025-11-03,ちぇちぇ._.gllit0825,Ice Cream Cone,1
2025-11-03,ちぇちぇ._.gllit0825,TikTok,1
2025-11-03,ちぇちぇ._.gllit0825,Finger Heart,5
2025-11-03,ちぇちぇ._.gllit0825,Finger Heart,5
2025-11-03,ちぇちぇ._.gllit0825,Finger Heart,15
2025-11-03,ちぇちぇ._.gllit0825,Finger Heart,5
2025-11-03,ちぇちぇ._.gllit0825,Finger Heart,20
2025-11-03,ちぇちぇ._.gllit0825,Finger Heart,50
2025-11-03,ちぇちぇ._.gllit0825,Rose,1
2025-11-03,ちぇちぇ._.gllit0825,Rose,9
2025-11-03,ちぇちぇ._.gllit0825,Finger Heart,50
2025-11-03,ちぇちぇ._.gllit0825,Finger Heart,50
2025-11-03,ちぇちぇ._.gllit0825,Finger Heart,10
2025-11-03,鯉城大和⛩️⚔️🎏,Heart Me,1
2025-11-03,鯉城大和⛩️⚔️🎏,Popular Vote,1
2025-11-03,ちぇちぇ._.gllit0825,Hat and Mustache,99
2025-11-03,鯉城大和⛩️⚔️🎏,Perfume,20
2025-11-03,鯉城大和⛩️⚔️🎏,BFF Necklace,20
2025-11-03,ちぇちぇ._.gllit0825,Rose,1
2025-11-03,ちぇちぇ._.gllit0825,Cap,99
2025-11-03,ちぇちぇ._.gllit0825,You're awesome,1
2025-11-03,ちぇちぇ._.gllit0825,Doughnut,30
2025-11-03,ちぇちぇ._.gllit0825,Doughnut,30
2025-11-03,ちぇちぇ._.gllit0825,Finger Heart,50
2025-11-03,ちぇちぇ._.gllit0825,Finger Heart,20
2025-11-03,ちぇちぇ._.gllit0825,Doughnut,30
2025-11-03,るちる,Heart Me,1
2025-11-03,︎︎𝚁𝙾𝚂𝙴𝙻𝙸𝙰,Heart Me,1
2025-11-03,︎︎𝚁𝙾𝚂𝙴𝙻𝙸𝙰,Rose,1
2025-11-03,あいてゃ,Heart Me,1
2025-11-03,あいてゃ,Popular Vote,1
2025-11-03,ちぇちぇ._.gllit0825,Doughnut,30
2025-11-03,あいてゃ,Cat Paws,1
2025-11-03,ちぇちぇ._.gllit0825,Finger Heart,10
2025-11-04,あさみん(◍•ᴗ•◍)🍑,Heart Me,1
2025-11-04,あさみん(◍•ᴗ•◍)🍑,Popular Vote,1
2025-11-04,ごましお,Heart Me,1
2025-11-04,もる,Heart Me,1
2025-11-04,もる,Popular Vote,1
2025-11-04,雨宮琥慈楽🐋🩵,Heart Me,1
2025-11-04,🐹💊まりか🌵🌾🍶 🦅໒꒱·̩͙⋆.*.ぉ,Heart Me,1
2025-11-04,kaaaaanaaaaa,Heart Me,1
2025-11-04,🐹💊まりか🌵🌾🍶 🦅໒꒱·̩͙⋆.*.ぉ,Popular Vote,1
2025-11-04,まりん🦅໒꒱·̩͙⋆.* .ぉ,Heart Me,1
2025-11-04,kaaaaanaaaaa,Hand Heart,100
2025-11-04,kaaaaanaaaaa,Bubblegum,99
2025-11-04,kaaaaanaaaaa,Hand Heart,100
2025-11-04,kaaaaanaaaaa,Hand Heart,100
2025-11-04,kaaaaanaaaaa,Hand Heart,100
2025-11-04,kaaaaanaaaaa,Star Map Polaris,500
2025-11-04,kaaaaanaaaaa,Star Map Polaris,500
2025-11-04,やみ,Heart Me,1
2025-11-04,あさみん(◍•ᴗ•◍)🍑,TikTok,5
2025-11-04,あさみん(◍•ᴗ•◍)🍑,TikTok,5
2025-11-04,kaaaaanaaaaa,Rosa,10
2025-11-04,あさみん(◍•ᴗ•◍)🍑,Rose,3
2025-11-04,あさみん(◍•ᴗ•◍)🍑,Rose,1
2025-11-04,kaaaaanaaaaa,Rosa,10
2025-11-04,kaaaaanaaaaa,Crystal Dreams,400
2025-11-04,kaaaaanaaaaa,Corgi,299
2025-11-04,小南 蛍🤍💤,Heart Me,1
2025-11-04,小南 蛍🤍💤,Popular Vote,1
2025-11-04,kaaaaanaaaaa,Rosa,10
2025-11-04,🐉🦎戌又ころおかch🍙🥐,Heart Me,1
2025-11-04,🎙きょんしぃ🌶 【絶対音政】,Heart Me,1
2025-11-04,kaaaaanaaaaa,Level-up Sparks,99
2025-11-04,kaaaaanaaaaa,Rosa,10
2025-11-04,ゆーえむえー🪽💙,Heart Me,1
2025-11-04,ゆーえむえー🪽💙,Cake Slice,1
2025-11-04,ゆーえむえー🪽💙,Cake Slice,1
2025-11-04,ゆーえむえー🪽💙,Popular Vote,1
2025-11-04,kaaaaanaaaaa,Hearts,199
2025-11-04,kaaaaanaaaaa,Hearts,199
2025-11-04,kaaaaanaaaaa,Hearts,199
2025-11-04,kaaaaanaaaaa,Hearts,199
2025-11-04,kaaaaanaaaaa,Hearts,199
2025-11-04,kaaaaanaaaaa,Hand Heart,100
2025-11-04,kaaaaanaaaaa,Hand Heart,100
2025-11-04,kaaaaanaaaaa,Hand Heart,100
2025-11-05,すえぱぱ🔨(モカ🍫✨️のコーギー🐶🍞),Heart Me,1
2025-11-05,すえぱぱ🔨(モカ🍫✨️のコーギー🐶🍞),Popular Vote,1
2025-11-05,すえぱぱ🔨(モカ🍫✨️のコーギー🐶🍞),Rose,1
2025-11-05,あさみん(◍•ᴗ•◍)🍑,Heart Me,1
2025-11-05,あさみん(◍•ᴗ•◍)🍑,Popular Vote,1
2025-11-05,ﾐｷﾞｶﾀﾆｺｶﾞﾈﾑｼ,Heart Me,1
2025-11-05,さっさん,Rose,1
2025-11-05,世紀末あほ🩷🎀(不思議生命体),Heart Me,1
2025-11-05,世紀末あほ🩷🎀(不思議生命体),Well done,1
2025-11-05,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Heart Me,1
2025-11-05,らぴす,Heart Me,1
2025-11-05,らぴす,Rose,1
2025-11-05,らぴす,Popular Vote,1
2025-11-05,らぴす,Rose,3
2025-11-05,🐠。,Fireworks,1088
2025-11-05,らぴす,Popular Vote,1
2025-11-06,らぴす,Heart Me,1
2025-11-06,らぴす,Popular Vote,1
2025-11-06,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Heart Me,1
2025-11-06,あさみん(◍•ᴗ•◍)🍑,Heart Me,1
2025-11-06,あさみん(◍•ᴗ•◍)🍑,Popular Vote,1
2025-11-06,ごましお,Heart Me,1
2025-11-06,ごましお,TikTok,1
2025-11-06,きづは,Heart Me,1
2025-11-06,👟いぬっころ🩶,Heart Me,1
2025-11-06,きづは,Rose,1
2025-11-06,きづは,Rose,10
2025-11-06,きづは,Rosa,10
2025-11-06,きづは,Rose,9
2025-11-06,はづき,Heart Me,1
2025-11-06,きづは,Rose,5
2025-11-06,あさみん(◍•ᴗ•◍)🍑,TikTok,1
2025-11-06,あさみん(◍•ᴗ•◍)🍑,BFF Necklace,10
2025-11-06,あさみん(◍•ᴗ•◍)🍑,BFF Necklace,10
2025-11-06,あさみん(◍•ᴗ•◍)🍑,BFF Necklace,10
2025-11-06,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Popular Vote,5
2025-11-06,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Popular Vote,5
2025-11-06,あさみん(◍•ᴗ•◍)🍑,BFF Necklace,10
2025-11-06,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Popular Vote,5
2025-11-06,あさみん(◍•ᴗ•◍)🍑,BFF Necklace,20
2025-11-06,むむ🧸🎀,Heart Me,1
2025-11-06,🎙きょんしぃ🌶 【絶対音政】,Heart Me,1
2025-11-07,灰音 采🏮⚔️👹,Heart Me,1
2025-11-07,灰音 采🏮⚔️👹,Rose,10
2025-11-07,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Heart Me,1
2025-11-07,宵代 夢吉💤🩵,Heart Me,1
2025-11-07,宵代 夢吉💤🩵,Popular Vote,1
2025-11-07,宵代 夢吉💤🩵,Suprised Fish,50
2025-11-07,宵代 夢吉💤🩵,Rose,50
2025-11-07,宵代 夢吉💤🩵,Rose,5
2025-11-07,宵代 夢吉💤🩵,You're awesome,1
2025-11-07,宵代 夢吉💤🩵,Ice Cream Cone,1
2025-11-07,宵代 夢吉💤🩵,Cat Paws,1
2025-11-07,宵代 夢吉💤🩵,TikTok,1
2025-11-07,宵代 夢吉💤🩵,Nice to meet U,1
2025-11-07,宵代 夢吉💤🩵,Well done,1
2025-11-07,宵代 夢吉💤🩵,Love you so much,1
2025-11-07,宵代 夢吉💤🩵,Love Letter,1
2025-11-07,宵代 夢吉💤🩵,GG,1
2025-11-07,宵代 夢吉💤🩵,Baseball,1
2025-11-07,宵代 夢吉💤🩵,Pumpkin,1
2025-11-07,宵代 夢吉💤🩵,Autumn heart,1
2025-11-07,宵代 夢吉💤🩵,Cake Slice,1
2025-11-07,宵代 夢吉💤🩵,Cute Cat,5
2025-11-07,宵代 夢吉💤🩵,Finger Heart,5
2025-11-07,宵代 夢吉💤🩵,Popular Vote,2
2025-11-07,きづは🏅💘,Heart Me,1
2025-11-07,きづは🏅💘,Rose,3
2025-11-07,きづは🏅💘,Rose,5
2025-11-07,きづは🏅💘,Rosa,10
2025-11-07,あさみん(◍•ᴗ•◍)🍑,Heart Me,1
2025-11-07,あさみん(◍•ᴗ•◍)🍑,Popular Vote,1
2025-11-07,きよ,Heart Me,1
2025-11-07,きよ,Popular Vote,1
2025-11-07,げんちゃん,Heart Me,1
2025-11-07,らぴす,Heart Me,1
2025-11-07,ようすけ,Rose,1
2025-11-07,神島 いぶき🌠🏄 (ye!! 1期生),Heart Me,1
2025-11-07,神島 いぶき🌠🏄 (ye!! 1期生),Popular Vote,1
2025-11-07,神島 いぶき🌠🏄 (ye!! 1期生),Finger Heart,5
2025-11-07,神島 いぶき🌠🏄 (ye!! 1期生),Rose,1
2025-11-07,もる,Heart Me,1
2025-11-07,もる,Popular Vote,1
2025-11-08,青渡蒼堕💙🫧,Heart Me,1
2025-11-08,青渡蒼堕💙🫧,Popular Vote,1
2025-11-08,青渡蒼堕💙🫧,Love you so much,1
2025-11-08,青渡蒼堕💙🫧,Cat Paws,1
2025-11-08,青渡蒼堕💙🫧,Rose,1
2025-11-08,青渡蒼堕💙🫧,Finger Heart,5
2025-11-08,青渡蒼堕💙🫧,Well done,5
2025-11-08,青渡蒼堕💙🫧,Love you so much,1
2025-11-08,青渡蒼堕💙🫧,Cat Paws,1
2025-11-08,青渡蒼堕💙🫧,Love Letter,1
2025-11-08,青渡蒼堕💙🫧,Well done,1
2025-11-08,青渡蒼堕💙🫧,Finger Heart,5
2025-11-08,青渡蒼堕💙🫧,Rose,1
2025-11-08,青渡蒼堕💙🫧,Baseball,1
2025-11-08,青渡蒼堕💙🫧,Cake Slice,1
2025-11-08,青渡蒼堕💙🫧,TikTok,1
2025-11-08,青渡蒼堕💙🫧,Suprised Fish,1
2025-11-08,青渡蒼堕💙🫧,Autumn heart,1
2025-11-08,青渡蒼堕💙🫧,Pumpkin,1
2025-11-08,青渡蒼堕💙🫧,Nice to meet U,1
2025-11-08,青渡蒼堕💙🫧,Ice Cream Cone,1
2025-11-08,青渡蒼堕💙🫧,You're awesome,1
2025-11-08,青渡蒼堕💙🫧,GG,1
2025-11-08,紫音,Heart Me,1
2025-11-08,紫音,Popular Vote,1
2025-11-08,もる,Heart Me,1
2025-11-08,もる,Popular Vote,1
2025-11-08,あさみん(◍•ᴗ•◍)🍑,Heart Me,1
2025-11-08,あさみん(◍•ᴗ•◍)🍑,Popular Vote,1
2025-11-08,げんちゃん,Heart Me,1
2025-11-08,げんちゃん,Finger Heart,5
2025-11-08,とんちゃん,Heart Me,1
2025-11-08,げんちゃん,Popular Vote,1
2025-11-08,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Heart Me,1
2025-11-08,宵代 夢吉💤🩵,Heart Me,1
2025-11-08,宵代 夢吉💤🩵,Popular Vote,1
2025-11-08,きづは🏅💘,Heart Me,1
2025-11-08,きづは🏅💘,Rose,1
2025-11-08,shota,Well done,1
2025-11-08,shota,Suprised Fish,1
2025-11-08,きづは🏅💘,Rose,3
2025-11-08,shota,Rose,20
2025-11-08,shota,Rose,100
2025-11-08,shota,TikTok,1
2025-11-09,もる,Heart Me,1
2025-11-09,もる,Popular Vote,1
2025-11-09,世紀末あほ🩷🎀(不思議生命体),Heart Me,1
2025-11-09,あさみん(◍•ᴗ•◍)🍑,Heart Me,1
2025-11-09,あさみん(◍•ᴗ•◍)🍑,Popular Vote,1
2025-11-09,あさみん(◍•ᴗ•◍)🍑,BFF Necklace,10
2025-11-09,あさみん(◍•ᴗ•◍)🍑,TikTok,1
2025-11-09,あさみん(◍•ᴗ•◍)🍑,BFF Necklace,10
2025-11-09,あさみん(◍•ᴗ•◍)🍑,BFF Necklace,10
2025-11-09,あさみん(◍•ᴗ•◍)🍑,TikTok,5
2025-11-09,あさみん(◍•ᴗ•◍)🍑,TikTok,20
2025-11-09,あさみん(◍•ᴗ•◍)🍑,Rose,5
2025-11-09,あさみん(◍•ᴗ•◍)🍑,Finger Heart,5
2025-11-09,あさみん(◍•ᴗ•◍)🍑,Finger Heart,5
2025-11-09,あさみん(◍•ᴗ•◍)🍑,Popular Vote,1
2025-11-09,あさみん(◍•ᴗ•◍)🍑,Popular Vote,1
2025-11-09,あさみん(◍•ᴗ•◍)🍑,Popular Vote,1
2025-11-09,げんちゃん,Heart Me,1
2025-11-09,げんちゃん,Popular Vote,1
2025-11-09,げんちゃん,Popular Vote,1
2025-11-10,霞沢,Heart Me,1
2025-11-10,霞沢,Popular Vote,1
2025-11-10,Protobuzz,Nick,20
2025-11-10,あさみん(◍•ᴗ•◍)🍑,Heart Me,1
2025-11-10,あさみん(◍•ᴗ•◍)🍑,Popular Vote,1
2025-11-10,こっちゃん🩷🧷,Heart Me,1
2025-11-10,こっちゃん🩷🧷,Judy,20
2025-11-10,こっちゃん🩷🧷,Nick,20
2025-11-10,あさみん(◍•ᴗ•◍)🍑,Judy,20
2025-11-10,あさみん(◍•ᴗ•◍)🍑,Nick,20
2025-11-10,あさみん(◍•ᴗ•◍)🍑,Judy,20
2025-11-10,V⛄️🤍🐈🐾🪷⚔️☁️🌂,Heart Me,1
2025-11-10,V⛄️🤍🐈🐾🪷⚔️☁️🌂,Judy Pose,299
2025-11-10,世紀末あほ🩷🎀(不思議生命体),Nick,20
2025-11-10,世紀末あほ🩷🎀(不思議生命体),Judy,20
2025-11-10,世紀末あほ🩷🎀(不思議生命体),Heart Me,1
2025-11-10,V⛄️🤍🐈🐾🪷⚔️☁️🌂,Judy,20
2025-11-10,V⛄️🤍🐈🐾🪷⚔️☁️🌂,Nick,20
2025-11-10,V⛄️🤍🐈🐾🪷⚔️☁️🌂,Nick,20
2025-11-10,レモン少年,Nick,20
2025-11-10,レモン少年,Judy,20
2025-11-10,らぴす,Heart Me,1
2025-11-10,レモン少年,Heart Me,1
2025-11-10,レモン少年,Judy Pose,299
2025-11-10,レモン少年,Zootopia Family,1000
2025-11-11,らぴす,Heart Me,1
2025-11-11,あさみ🍑,Heart Me,1
2025-11-11,あさみ🍑,Popular Vote,1
2025-11-11,︎︎𝚁𝙾𝚂𝙴𝙻𝙸𝙰,Heart Me,1
2025-11-11,きよ,Heart Me,1
2025-11-11,きよ,Popular Vote,1
2025-11-11,きよ,Judy,20
2025-11-11,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Heart Me,1
2025-11-11,針葉樹林,Heart Me,1
2025-11-11,針葉樹林,Nick,20
2025-11-11,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Popular Vote,1
2025-11-11,あさみ🍑,Judy,20
2025-11-11,あさみ🍑,Nick,20
2025-11-11,世紀末あほ🩷🎀(不思議生命体),Heart Me,1
2025-11-11,世紀末あほ🩷🎀(不思議生命体),Popular Vote,1
2025-11-11,もる,Heart Me,1
2025-11-11,もる,Popular Vote,1
2025-11-11,あさみ🍑,Doughnut,90
2025-11-11,あさみ🍑,Cute Cat,5
2025-11-11,あさみ🍑,New Year Protect,5
2025-11-12,あさみ🍑,Heart Me,1
2025-11-12,あさみ🍑,Popular Vote,1
2025-11-12,ふみふみ🌕⚓️🫧🐈‍⬛🎶🐱🪽🐟🔪🌕🐺⛓,Heart Me,1
